                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85952,                0.48773,                 1.1153,                 0.9073,                0.95299,                0.96786,                0.69025,                 1.0441,                0.58876,                 1.2658,             0.00054478,             0.00054478,             0.00054478
                     36,                0.85846,                0.47388,                 1.1152,                0.93054,                0.92741,                0.95777,                0.69389,                  1.072,                0.60749,                 1.3044,             0.00051177,             0.00051177,             0.00051177
                     37,                0.84616,                0.46616,                 1.1092,                0.95323,                 0.8989,                0.95735,                0.68884,                 1.0872,                 0.6058,                 1.2874,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.8658,                0.48632,                 1.1096,                0.91535,                0.90117,                0.94331,                0.66729,                 1.0931,                0.67403,                 1.3219,             0.00044576,             0.00044576,             0.00044576
                     39,                0.84735,                0.45529,                 1.1122,                0.88541,                 0.9294,                0.95103,                0.69132,                 1.0734,                0.61829,                 1.2884,             0.00041275,             0.00041275,             0.00041275
                     40,                0.87078,                 0.4624,                 1.1354,                0.88316,                0.93919,                 0.9411,                0.68186,                 1.0494,                0.59964,                 1.2836,             0.00037974,             0.00037974,             0.00037974
                     41,                0.83485,                 0.4314,                  1.114,                 0.9175,                0.92951,                0.94254,                0.68099,                 1.0332,                0.56899,                 1.2594,             0.00034674,             0.00034674,             0.00034674
                     42,                0.80183,                0.40173,                 1.0925,                0.90232,                0.93093,                0.95852,                0.69944,                  1.022,                0.58251,                 1.2194,             0.00031373,             0.00031373,             0.00031373
                     43,                0.77265,                0.39664,                  1.075,                0.92764,                0.92706,                0.96911,                0.70554,                  1.011,                0.54661,                 1.2296,             0.00028072,             0.00028072,             0.00028072
                     44,                0.74634,                0.37826,                 1.0531,                0.90968,                0.95488,                0.96817,                0.72286,                 1.0144,                0.54235,                 1.2135,             0.00024772,             0.00024772,             0.00024772
                     45,                0.74182,                0.37394,                 1.0556,                0.89945,                0.96873,                0.96891,                0.70603,                 1.0624,                0.56382,                 1.2593,             0.00021471,             0.00021471,             0.00021471
                     46,                0.73373,                0.36467,                 1.0533,                0.91272,                0.94142,                0.96827,                0.69606,                 1.0478,                0.58742,                   1.27,              0.0001817,              0.0001817,              0.0001817
                     47,                0.68972,                0.35195,                 1.0238,                0.90216,                0.92913,                0.96158,                0.69902,                 1.0412,                0.58903,                 1.2668,              0.0001487,              0.0001487,              0.0001487
                     48,                0.72517,                0.36316,                 1.0555,                0.92908,                0.92072,                0.95798,                0.69689,                  1.054,                0.56797,                 1.3008,             0.00011569,             0.00011569,             0.00011569
                     49,                0.70951,                0.35963,                 1.0483,                0.95893,                 0.9152,                0.96026,                0.70163,                 1.0567,                0.57294,                 1.2863,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.68438,                0.33813,                 1.0148,                0.93213,                0.92072,                0.95537,                0.68903,                 1.0494,                 0.5707,                 1.2744,             4.9677e-05,             4.9677e-05,             4.9677e-05
